N              error_R             error_S             error_G             
10             0.3813491565        4.1492523258        0.1592119046        
11             0.3638470905        3.7470191490        0.1519734043        
12             0.3485635612        3.4128357536        0.1456658380        
13             0.3350668033        3.1308838350        0.1401063489        
14             0.3230341836        2.8898846854        0.1351586760        
15             0.3122191249        2.6815813857        0.1307189246        
16             0.3024295095        2.4997914523        0.1267063111        
17             0.2935131335        2.3397946389        0.1230569489        
18             0.2853476427        2.1979253145        0.1197195613        
19             0.2778334056        2.0712939020        0.1166524534        
