N              Aproximate          True                Error               
10    0.02940666108653526567  0.02941176470588235253  0.00000510361934708686  
11    0.02940876706829655823  0.02941176470588235253  0.00000299763758579430  
12    0.02940993083594138982  0.02941176470588235253  0.00000183386994096271  
13    0.02941060250377993887  0.02941176470588235253  0.00000116220210241366  
14    0.02941100513394041827  0.02941176470588235253  0.00000075957194193427  
15    0.02941125465726696780  0.02941176470588235253  0.00000051004861538473  
16    0.02941141390924299770  0.02941176470588235253  0.00000035079663935483  
17    0.02941151823878619676  0.02941176470588235253  0.00000024646709615578  
18    0.02941158820258986395  0.02941176470588235253  0.00000017650329248858  
19    0.02941163611561746494  0.02941176470588235253  0.00000012859026488760  
20    0.02941166955535168270  0.02941176470588235253  0.00000009515053066983  
21    0.02941169329834350879  0.02941176470588235253  0.00000007140753884374  
22    0.02941171042235427371  0.02941176470588235253  0.00000005428352807882  
23    0.02941172295060443323  0.02941176470588235253  0.00000004175527791930  
24    0.02941173223765965877  0.02941176470588235253  0.00000003246822269376  
25    0.02941173920578457612  0.02941176470588235253  0.00000002550009777641  
26    0.02941174449270216387  0.02941176470588235253  0.00000002021318018866  
27    0.02941174854573481642  0.02941176470588235253  0.00000001616014753611  
28    0.02941175168283575309  0.02941176470588235253  0.00000001302304659945  
